t,vx,vy,vz,omega
1.667751655578613281e+02,3.024109862794369455e-02,-4.700563358277348031e-02,1.391975084735966872e-01,0.000000000000000000e+00
1.669155437946319580e+02,3.247979559691643175e-02,-4.726948648470300635e-02,1.386025199101913741e-01,0.000000000000000000e+00
1.670583105087280273e+02,3.535549057457654243e-02,-4.503826206783037578e-02,1.386417838753543352e-01,0.000000000000000000e+00
1.671979105472564697e+02,3.298024239701302651e-02,-4.294182514396698014e-02,1.398867515697581332e-01,0.000000000000000000e+00
1.673363823890686035e+02,3.200111637490213323e-02,-3.569732922231211303e-02,1.421324355562580133e-01,0.000000000000000000e+00
1.674809119701385498e+02,-1.821941124894139313e-02,-1.040287895778778116e-01,1.065179045639913225e-01,0.000000000000000000e+00
1.676202399730682373e+02,-1.181518648102609058e-02,-7.989841728408135502e-02,1.263987511169211986e-01,0.000000000000000000e+00
1.677648973464965820e+02,-7.345456842960145470e-03,-8.035337596832237139e-02,1.264491171747025022e-01,0.000000000000000000e+00
1.679044709205627441e+02,4.062958452234130546e-02,-3.091512213827702846e-02,1.410442912163315521e-01,0.000000000000000000e+00
1.680437028408050537e+02,3.618444979046508969e-02,-2.939699030090527770e-02,1.425710438855302131e-01,0.000000000000000000e+00
1.681865909099578857e+02,5.239583642737878633e-02,-3.200119214461310396e-02,1.368597823555149362e-01,0.000000000000000000e+00
1.683277018070220947e+02,4.494506477356523949e-02,-3.119105146901046677e-02,1.396676750746483897e-01,0.000000000000000000e+00
1.684759225845336914e+02,5.502216380353548708e-02,-1.952936226050042481e-02,1.381707838150853240e-01,0.000000000000000000e+00
1.686196534633636475e+02,4.572433754562313379e-02,-2.018831351008176442e-02,1.414274264548166515e-01,0.000000000000000000e+00
1.687603216171264648e+02,4.769150924391207108e-02,-2.447136589158759729e-02,1.400952254626755267e-01,0.000000000000000000e+00
1.688990767002105713e+02,3.911549010018581379e-02,5.783147963564474504e-03,1.446946219935412448e-01,0.000000000000000000e+00
1.690436682701110840e+02,2.285910249635706229e-02,7.028022710309075535e-03,1.480812896008284196e-01,0.000000000000000000e+00
1.691787531375885010e+02,1.955549345143221818e-02,3.185172445656671292e-02,1.452688897356000930e-01,0.000000000000000000e+00
1.693224215507507324e+02,1.692255557887202902e-02,1.378778530159342763e-02,1.484032482432819100e-01,0.000000000000000000e+00
1.694696455001831055e+02,2.659214400553885915e-02,1.605360576567983408e-02,1.467485591721731930e-01,0.000000000000000000e+00
1.696096324920654297e+02,4.197091707749896206e-02,2.658598151241243698e-02,1.415331328936633437e-01,0.000000000000000000e+00
1.697532856464385986e+02,4.072744226634755771e-02,2.342272516805049554e-02,1.424522775954926712e-01,0.000000000000000000e+00
1.698971493244171143e+02,4.318364077908144749e-02,2.283783577479729307e-02,1.418224468347187850e-01,0.000000000000000000e+00
1.700378894805908203e+02,4.275746415575940040e-02,2.238608376748626658e-02,1.420234576136070181e-01,0.000000000000000000e+00
1.701785011291503906e+02,5.242062776342820696e-02,3.389342464625276496e-02,1.363939644949030694e-01,0.000000000000000000e+00
1.703225696086883545e+02,4.910069964409764787e-02,2.022689641711389666e-02,1.402854017914603180e-01,0.000000000000000000e+00
1.704613745212554932e+02,4.916479153119491380e-02,2.116171477546960333e-02,1.401249624494358692e-01,0.000000000000000000e+00
