t,m1,m2,m3,m4,vbat
1.317985985279083252e+02,4.611500000000000000e+04,4.871400000000000000e+04,4.665600000000000000e+04,4.607400000000000000e+04,3.325513362884521484e+00
1.318411631584167480e+02,4.715000000000000000e+04,4.831200000000000000e+04,4.575500000000000000e+04,4.685000000000000000e+04,3.325513362884521484e+00
1.318826835155487061e+02,4.715300000000000000e+04,4.858900000000000000e+04,4.594700000000000000e+04,4.600100000000000000e+04,3.320234775543212891e+00
1.319255704879760742e+02,4.574400000000000000e+04,4.890800000000000000e+04,4.830100000000000000e+04,4.642800000000000000e+04,3.320234775543212891e+00
1.319687752723693848e+02,4.645200000000000000e+04,4.876600000000000000e+04,4.816300000000000000e+04,4.624100000000000000e+04,3.314955949783325195e+00
1.320100803375244141e+02,4.601800000000000000e+04,4.910100000000000000e+04,4.922700000000000000e+04,4.576800000000000000e+04,3.314955949783325195e+00
1.320552937984466553e+02,4.818600000000000000e+04,4.886000000000000000e+04,4.742900000000000000e+04,4.543500000000000000e+04,3.314955949783325195e+00
1.320995495319366455e+02,5.257700000000000000e+04,5.010400000000000000e+04,4.730800000000000000e+04,4.745400000000000000e+04,3.304398775100708008e+00
1.321428894996643066e+02,4.789900000000000000e+04,4.937300000000000000e+04,4.923000000000000000e+04,4.291300000000000000e+04,3.278005838394165039e+00
1.321879770755767822e+02,4.743100000000000000e+04,4.687400000000000000e+04,5.014100000000000000e+04,4.354300000000000000e+04,3.320234775543212891e+00
1.322324802875518799e+02,4.925800000000000000e+04,4.529900000000000000e+04,4.980000000000000000e+04,4.513100000000000000e+04,3.320234775543212891e+00
1.322745938301086426e+02,5.018200000000000000e+04,4.495100000000000000e+04,4.953200000000000000e+04,4.425900000000000000e+04,3.314955949783325195e+00
1.323799531459808350e+02,5.106800000000000000e+04,4.694400000000000000e+04,5.077400000000000000e+04,4.053900000000000000e+04,3.309677362442016602e+00
1.324341354370117188e+02,5.071700000000000000e+04,4.175400000000000000e+04,5.546700000000000000e+04,3.922600000000000000e+04,3.314955949783325195e+00
1.324776864051818848e+02,5.177600000000000000e+04,4.535900000000000000e+04,5.318800000000000000e+04,4.380300000000000000e+04,3.314955949783325195e+00
1.325217132568359375e+02,5.358800000000000000e+04,4.292700000000000000e+04,5.506900000000000000e+04,3.556100000000000000e+04,3.293841600418090820e+00
1.325675222873687744e+02,5.113900000000000000e+04,4.445900000000000000e+04,5.307300000000000000e+04,3.905300000000000000e+04,3.309677362442016602e+00
