t,x,y,z,yaw
3.298726119995117188e+02,2.138924121856689453e+00,-3.948373794555664062e+00,5.635468959808349609e-01,-1.607108798735425170e-02
3.299351708889007568e+02,2.138924121856689453e+00,-3.948373794555664062e+00,5.635468959808349609e-01,-1.607108798735425170e-02
3.299966115951538086e+02,2.130166769027709961e+00,-3.942565441131591797e+00,5.544627308845520020e-01,-1.279258272146618913e-02
3.300587985515594482e+02,2.118334531784057617e+00,-3.931351423263549805e+00,5.418094396591186523e-01,-9.109131328263965835e-03
3.301205127239227295e+02,2.118334531784057617e+00,-3.931351423263549805e+00,5.418094396591186523e-01,-9.109131328263965835e-03
3.301855187416076660e+02,2.108650922775268555e+00,-3.921206474304199219e+00,5.300558805465698242e-01,-9.014237489078482171e-03
3.302468314170837402e+02,2.100408554077148438e+00,-3.910294055938720703e+00,5.169278383255004883e-01,-8.828629725262169062e-03
3.303102860450744629e+02,2.100408554077148438e+00,-3.910294055938720703e+00,5.169278383255004883e-01,-8.828629725262169062e-03
3.303708860874176025e+02,2.095875978469848633e+00,-3.898895502090454102e+00,5.035548806190490723e-01,-9.943482012731682043e-03
3.304314556121826172e+02,2.095875978469848633e+00,-3.898895502090454102e+00,5.035548806190490723e-01,-9.943482012731682043e-03
3.304953870773315430e+02,2.089496850967407227e+00,-3.891584396362304688e+00,4.881120920181274414e-01,-1.034295617624356525e-02
3.305539093017578125e+02,2.084428548812866211e+00,-3.882232904434204102e+00,4.742240607738494873e-01,-1.035308243016967202e-02
3.306158304214477539e+02,2.084428548812866211e+00,-3.882232904434204102e+00,4.742240607738494873e-01,-1.035308243016967202e-02
3.306743392944335938e+02,2.081172466278076172e+00,-3.875591516494750977e+00,4.595842957496643066e-01,-1.180342643596191642e-02
3.307333858013153076e+02,2.077983856201171875e+00,-3.867790222167968750e+00,4.419221282005310059e-01,-1.298715680771819932e-02
3.307960767745971680e+02,2.077983856201171875e+00,-3.867790222167968750e+00,4.419221282005310059e-01,-1.298715680771819932e-02
3.308603038787841797e+02,2.076400995254516602e+00,-3.860803842544555664e+00,4.262059926986694336e-01,-1.336526846615790874e-02
3.309385643005371094e+02,2.076461553573608398e+00,-3.853297710418701172e+00,4.092116355895996094e-01,-1.325019702052586748e-02
3.309984383583068848e+02,2.076461553573608398e+00,-3.853297710418701172e+00,4.092116355895996094e-01,-1.325019702052586748e-02
3.310611259937286377e+02,2.076877355575561523e+00,-3.846756458282470703e+00,3.918408453464508057e-01,-1.380382972015321320e-02
3.311192085742950439e+02,2.076877355575561523e+00,-3.846756458282470703e+00,3.918408453464508057e-01,-1.380382972015321320e-02
3.311831164360046387e+02,2.079283714294433594e+00,-3.842087268829345703e+00,3.731695115566253662e-01,-1.266801544207233308e-02
3.312457740306854248e+02,2.081274747848510742e+00,-3.837338447570800781e+00,3.530531823635101318e-01,-1.195017909559288605e-02
3.313057394027709961e+02,2.081274747848510742e+00,-3.837338447570800781e+00,3.530531823635101318e-01,-1.195017909559288605e-02
3.313681759834289551e+02,2.084281682968139648e+00,-3.833655357360839844e+00,3.351212441921234131e-01,-1.276166300509144758e-02
3.314290196895599365e+02,2.084281682968139648e+00,-3.833655357360839844e+00,3.351212441921234131e-01,-1.276166300509144758e-02
3.314953219890594482e+02,2.089153766632080078e+00,-3.828899383544921875e+00,3.132574558258056641e-01,-1.136718504494742439e-02
3.315575847625732422e+02,2.093226194381713867e+00,-3.826884984970092773e+00,2.936719059944152832e-01,-1.087814128383560695e-02
3.316167366504669189e+02,2.093226194381713867e+00,-3.826884984970092773e+00,2.936719059944152832e-01,-1.087814128383560695e-02
3.316204226016998291e+02,2.093226194381713867e+00,-3.826884984970092773e+00,2.936719059944152832e-01,-1.087814128383560695e-02
3.316297338008880615e+02,2.093226194381713867e+00,-3.826884984970092773e+00,2.936719059944152832e-01,-1.087814128383560695e-02
3.316390414237976074e+02,2.098354578018188477e+00,-3.827266693115234375e+00,2.736399769783020020e-01,-1.172953099779332382e-02
