Time_s,Priority_0,Priority_1,Priority_2,Priority_3,Priority_4,Priority_5,Priority_6
1773951674.6812997,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.6909702,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.7007773,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.7113943,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.7207873,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.7309139,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.7408867,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.750841,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.7614558,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.7707648,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.7807639,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.790928,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.801534,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.8116732,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.8208346,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.8310835,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.8415942,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.8507612,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.860843,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.871224,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.8808355,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.891434,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.9024963,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
1773951674.9111137,0.6239948974227881,0.333873072236187,1.0,0.3485100662893289,-0.008527505736792576,0.0,1.1698821801616819
